ID	code	name	Type	Domain	Order	Genus	Speices
T09843	hsg	Candidatus Hepatoplasma scabrum	Prokaryotes	Bacteria	Mycoplasmatota	Hepatoplasma	Candidatus Hepatoplasma
T09841	tll	Candidatus Tyloplasma litorale	Prokaryotes	Bacteria	Mycoplasmatota	Tyloplasma	Candidatus Tyloplasma
T00154	poy	Onion yellows phytoplasma OY-M	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Onion yellows
T00314	ayw	Aster yellows witches'-broom phytoplasma AYWB	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Aster yellows
T04456	mbp	Maize bushy stunt phytoplasma	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Maize bushy
T09302	pwp	Paulownia witches'-broom phytoplasma	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Paulownia witches'-broom
T10382	rphy	Rapeseed phyllody phytoplasma	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Rapeseed phyllody
T10435	pase	Candidatus Phytoplasma asteris	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T00729	pml	Candidatus Phytoplasma mali	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T00752	pal	Candidatus Phytoplasma australiense	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T02674	nzs	Strawberry lethal yellows phytoplasma (CPA)	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Strawberry lethal
T02881	psol	Candidatus Phytoplasma solani	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
