ID	code	name	Type	Domain	Order	Genus	Speices
T05675	pzi	Candidatus Phytoplasma ziziphi	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T08290	pvh	Candidatus Phytoplasma vitis	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T08734	prub	Candidatus Phytoplasma rubi	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T07569	pluf	Candidatus Phytoplasma luffae	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T08823	poe	Candidatus Phytoplasma oryzae	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T09130	psah	Candidatus Phytoplasma sacchari	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T09446	pphy	Candidatus Phytoplasma asiaticum	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T09447	pphs	Candidatus Phytoplasma australasiaticum subsp. australasiaticum	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T10424	pfra	Candidatus Phytoplasma fraxini	Prokaryotes	Bacteria	Mycoplasmatota	Phytoplasma	Candidatus Phytoplasma
T00659	acl	Acholeplasma laidlawii	Prokaryotes	Bacteria	Mycoplasmatota	Acholeplasma	Acholeplasma laidlawii
T03695	aoc	Acholeplasma oculi	Prokaryotes	Bacteria	Mycoplasmatota	Acholeplasma	Acholeplasma oculi
T06645	ahk	Acholeplasma hippikon	Prokaryotes	Bacteria	Mycoplasmatota	Acholeplasma	Acholeplasma hippikon
